name,type,confidence,n_entries,spelling_variants,index_letters,example_entry
Ambassadours of England,person,0.94,1,Ambassadours of England,A,Ambassadours of England and Fraunce meete at Balingham. 1083.23. a.
Ambassadours.pag,uncertain,0.2,1,Ambassadours.pag,A,Ambassadours.pag. 1125. col. 2. line. 30. pag. 1131. col. 1. line. 15. page. 1135. col. 2. line. 41. page. 1155. col. 1. line. 20.
Amboys castle,place,0.94,2,Amboys castle,A,Amboys castle assured to Theo. bald Earle of Bloys. 427.20.
Ambrei,place,0.83,1,Ambrei,A,"Ambrei, nowe called Salisburie. 118.36."
Ambresburie Nunrie,uncertain,0.2,1,Ambresburie Nunrie,A,Ambresburie Nunrie buylded. 237.30.
Ambreuilliers castle,place,0.75,1,Ambreuilliers castle,A,Ambreuilliers castle taken by the Earle of Salisburie. pa. 1187. col. 2. lin. 6.
Amerie de Pauie,person,0.72,1,Amerie de Pauie,P,Amerie de Pauie knight Captayne of Calais Castle. 943.1. b. selleth Calais to the French men. 944.3. a.
Ammianus Marcellinus,uncertain,0.2,1,Ammianus Marcellinus,A,Ammianus Marcellinus cyted. 96.94. & .102.74.
Ammond,person,0.81,1,Ammond,A,"Ammond, a king of the Danes. 212.19."
Amphibalus,place,0.83,2,Amphibalus,A,"Amphibalus, a zelous Christian in Britayne. 88.6."
Amphibulus,person,0.86,1,Amphibulus,A,"Amphibulus, where borne. 27.108."
Amphitrita,person,0.82,1,Amphitrita,A,"Amphitrita, wyfe to Neptune God of the seas. 5.20."
Anna,person,0.97,3,Anna,A,"Anna, king of the Eastangles. 169.54."
Anabaptistes,person,0.81,1,Anabaptistes,A,"Anabaptistes discouered, of whomsome recanting, beare fagottes. 1871.54. some are whipped and banished, 1872.12. two are burnt, 1872.29."
Anacletus,person,0.85,1,Anacletus,A,Anacletus taken prisoner by Brute. 11.76.
Anandale,place,0.89,1,Anandale,A,Anandale spoyled. 830.27. b.
Anatholius,person,0.84,1,Anatholius,A,"Anatholius, an holy and woorthy father. 168.37."
Andates,uncertain,0.2,1,Andates,A,Andates the British Goddesse of victorie. 64.47.
Andauer,uncertain,0.2,1,Andauer,A,Andauer. 233.17
Andell riuer in Normandie,place,0.97,1,Andell riuer in Normandie,A,Andell riuer in Normandie. 385.31.
Andragatius,person,0.8,1,Andragatius,A,"Andragatius, Admirall of the seas perteyning to the Empire. 97.38."
Andredecester Citie,place,0.82,1,Andredecester Citie,A,Andredecester Citie ouerthrowen. 125.87. and. 126.71
Andredescester Citie,place,0.97,1,Andredescester Citie,A,Andredescester Citie besieged. 126.56.
Andredesley wood,place,0.95,1,Andredesley wood,A,"Andredesley wood, with the length and breadth. 215.77"
Andredeswald wood,place,0.95,1,Andredeswald wood,A,Andredeswald wood. 194.12.
Andredeswold,place,0.81,1,Andredeswold,A,Andredeswold in Sussex. 125.60.
Andresey Ile,place,0.97,1,Andresey Ile,A,Andresey Ile. 208.16.
Andrew,person,0.96,2,Andrew,AB,"Andrew Barton, a famous Scottishe Pirate slayne. 1441.56."
Andrew Harcley,person,0.97,1,Andrew Harcley,A,"Andrew Harcley created Earle of Caerlile. 869.3. a. conspireth agaynst the king, and is executed. 871.55. a."
Andrewe,person,0.96,1,Andrewe,A,"Andrewe nominated Archbyshop of Cantorburie, is preuented by death. 178.12."
Androgeus,person,0.72,3,Androgeus,A,"Androgeus Earle of London, disobeyeth the summonance of Cassibelsane. 43.66."
Anne,person,0.96,9,Anne,A,Anne beame a hill. pag. 1416. col. 2. lin. 57.
Anne of Cleue,person,0.97,1,Anne of Cleue,A,Anne of Cleue dyeth. 1769.4.
Angiers,place,0.74,1,Angiers,A,Angiers taken by Queene Elianor. 543.82.
Angiers Citie,place,0.94,2,Angiers Citie | Angiers citie,A,Angiers citie repaired agayne by king Iohn. 564.10.
Angles,person,0.82,3,Angles,A,Angles receiued by the Britaines. 545.97
Anglesey,place,0.89,3,Anglesey,A,Anglesey woonne by the Romanes. 59.114
Anglesey Ile,place,0.97,2,Anglesey Ile,A,Anglesey Ile. 787.12. b. won 791.4. b.
Angli,uncertain,0.2,2,Angli,A,"Angli, all one people with the Thuringi. 113.45."
Angolesme,place,0.66,1,Angolesme,A,Angolesme surrendred to the Earle of Derby. 927.55. b recouered. 928.35. b.
Angussel,person,0.46,2,Angussel,A,Angussel slayne. 134.27.
Aniou,place,0.77,1,Aniou,A,Aniou wasted by Queene Elianor. 543.78.
Aniow,uncertain,0.45,1,Aniow,A,"Aniow inhabitantes take part with king Henry the fyrst, against Robart Duke of Normandie. 344.22."
Annius,person,0.85,1,Annius,A,Annius cited. 3.110. and. 4.67. and. 5.6.
Annius of Viterbo,person,0.85,1,Annius of Viterbo,A,Annius of Viterbo cited. 1.63. and. 2.68. and. 2.89. and. 3 16. and. 3.46. a.
Anlafe,person,0.91,1,Anlafe,A,"Anlafe king of Norway baptised, and receiueth the fayth. 241.7."
Anselme,person,0.95,16,Anselme,A,Anselme fleeth out of ye realme to Rome. 333.21.
Anteus,person,0.8,1,Anteus,A,Anteus slayne by Hercules in Mauritania. 5.107.
Anthony Bek,person,0.95,1,Anthony Bek,A,Anthony Bek made Patriarch of Hierusalem. 843.38. b. contendeth with the Prior of Darham. 844.1. a.
Anthonie,person,0.8,1,Anthonie,R,Anthonie Earle Riuers. pa. 1351. co. 1. lin. 6.
Anthonie Wooduile,person,0.9,1,Anthonie Wooduile,A,Anthonie Wooduile. pa. 1298 col. 1. lin. 4.
Antigonus,person,0.97,1,Antigonus,A,"Antigonus, brother to Pandrasus, taken prisoner by Brute. 11.41."
Antony,person,0.94,2,Antony,A,Antony bastard of Burgongne. pag. 1317. col. 2. lin. 16. chalenged the lorde Scales. lin. 44.
Antony Woduile,person,0.88,1,Antony Woduile,A,"Antony Woduile Lord Riuers brother to Elizabeth, wyfe to Ed. 4. pag. 1360. col. 1. lin. 11. put in ward. pa. 1361 co. 2. li. 3. beheaded at Pomfret. pag. 1362. col. 1. lin. 36"
Antoninus,person,0.91,2,Antoninus,A,"Antoninus, sonne to Seuerus the Empe. looke Bassianus."
Appeales,uncertain,0.33,2,Appeales,A,"Appeales to Rome forbidden, and howe such appeales shalbe determined. 1559.53."
Apleby castle,place,0.82,1,Apleby castle,A,Apleby castle taken by ye Scots. 433.113.
Appledore castle,place,0.87,1,Appledore castle,A,Appledore castle builded. 216.3.
Appointing,person,0.8,1,Appointing,A,"Appointing of the Pope, belongeth only to the Emperour. 330.99."
Apre Riuar,uncertain,0.2,1,Apre Riuar,A,Apre Riuar. page. 1310. col. 2. line. 40.
Aques citie,place,0.97,1,Aques citie,A,Aques citie besieged & woonne. 447.18.
Aquitaine,place,0.89,2,Aquitaine,A,Aquitaine troubled with warre 978.40. b.
Aqutia,person,0.8,1,Aqutia,A,"Aqutia a British prophet, what time he wrote. 19.5."
Arraine Therle,person,0.91,1,Arraine Therle,A,Arraine Therle gouernour of Scotland. 1589.50.
Arbogastes,uncertain,0.45,1,Arbogastes,A,"Arbogastes a Goth, slayeth Flauius Victor nobilissimus. 97.98."
Archby. of Yorke,person,0.81,1,Archby. of Yorke,A,Archby. of Yorke lord Chauncelor. pag. 1362. col. 2. lin. 3. came before day to ye queene lin. 22. deliuered her ye great Seale. lin. 47. was blamed for deliuerie. pa. 1363. col. 2 lin. 49. taken from him. lin. 50.
Archbyshop of Cantorbury,uncertain,0.45,1,Archbyshop of Cantorbury,A,Archbyshop of Cantorbury his Oration. pag. 1168. col. 2. lin. 11.
Archbyshop of Cantorburie,uncertain,0.27,5,Archbyshop of Cantorburie | Archbyshop of Cantorburye,A,"Archbyshop of Cantorburie, or Yorke, to haue aucthoritie to place another, the Sea of eyther being voyde. 163.20."
Archbyshop of Cantorburie Steuen Langton,person,0.73,1,Archbyshop of Cantorburie Steuen Langton,A,"Archbyshop of Cantorburie Steuen Langton taketh possession of his see, and restoreth the Monkes of Cantorburie. 581.71."
Archbishop of Colen,person,0.83,1,Archbishop of Colen,A,"Archbishop of Colen sent Ambassadour to Richard elect, king of Almayne. 746.70."
Archbyshop of Yorke,uncertain,0.3,6,Archbishop of Yorke | Archbyshop of Yorke,A,Archbyshop of Yorke deliuereth Hen. the sixt. to Ed. the fourth. pag. 1332. col. 2. lin. 28. was sent prisoner to Guynes. pag. 1345. col. 1. lin. 47.
