paragraph_number,name,start_offset,end_offset,left_context,right_context,full_context
416,Bruſe,1281,1286,Dauid,had,Dauid Bruſe had
416,Iane,1375,1379,marryed,the ſiſter,marryed Iane the ſiſter
416,king Edward,1417,1428,this,: he mooued,this king Edward : he mooued
416,Dauid,1545,1550,this,Bruſe,this Dauid Bruſe
416,Bruſe,1551,1556,Dauid,", &","Dauid Bruſe , &"
416,Iane,1660,1664,ſayde,(ſauing,ſayde Iane (ſauing
416,Dauid,1789,1794,ſame,Bruſe,ſame Dauid Bruſe
416,Bruſe,1795,1800,Dauid,was right,Dauid Bruſe was right
417,Dauid,89,94,this,procured,this Dauid procured
417,Dauid,379,384,this,was not,this Dauid was not
417,Dauid,860,865,this,wēt,this Dauid wēt
418,Dauid,160,165,this,", he was","this Dauid , he was"
418,Dauid,293,298,rebellion,ſhoulde,rebellion Dauid ſhoulde
418,king Edward,333,344,,the ſomme,king Edward the ſomme
418,Edward,652,658,kyng,for lacke,kyng Edward for lacke
418,king Edward,887,898,ds of,ſundry,ds of king Edward ſundry
418,Dauid,1021,1026,hiſtory of,", touching","hiſtory of Dauid , touching"
419,Edward,29,35,1326.,ye,1326. Edward ye
419,Edward,158,164,reigne,Bailiol,reigne Edward Bailiol
420,Edward,39,45,kyng,", he","kyng Edward , he"
420,Edward,181,187,came,Bailiol,came Edward Bailiol
422,king Edward,36,47,reigne of,of englande,reigne of king Edward of englande
422,Edward,61,67,"englande,",Bailiol,"englande, Edward Bailiol"
423,Dauid,32,37,1346.,Bruys,1346. Dauid Bruys
423,William,325,332,and,earle,and William earle
423,Dauid,456,461,wyth,dyd homage,wyth Dauid dyd homage
423,Edward,476,482,homage to,king,homage to Edward king
427,Edward,22,28,ſonne of,", called","ſonne of Edward , called"
427,Edward,75,81,kyng,",","kyng Edward ,"
427,Iane,151,155,ſayde,", the","ſayde Iane , the"
428,Richard,128,135,king,", & ceaſſed","king Richard , & ceaſſed"
428,Robert,176,182,vntyll,king,vntyll Robert king
430,Iane,253,257,ſcottes to,daughter,ſcottes to Iane daughter
430,Iohn,270,274,daughter of,,daughter of Iohn
435,miles,216,221,ſcore,,ſcore miles
436,miles,1196,1201,thirtye,", whereby","thirtye miles , whereby"
436,miles,1325,1330,,", as maye","miles , as maye"
437,miles,1950,1955,foure,", and","foure miles , and"
437,Wincheſter,2893,2903,"ſheles,",", Rutcheſter","ſheles, Wincheſter , Rutcheſter"
