paragraph_number,name,start_offset,end_offset,left_context,right_context,full_context
247,innocent,423,431,yong,nephew,yong innocent nephew
248,Robert,545,551,and,Walſh,and Robert Walſh
249,innocent,626,634,betray the,bloud,betray the innocent bloud
251,Henrie,211,217,named,", who","named Henrie , who"
252,Iohn,4,8,Sir,Wallop,Sir Iohn Wallop
252,Wallop,9,15,Iohn,(who,Iohn Wallop (who
252,Iohn,128,132,"Fraunce,Sir",Wallop,"Fraunce,Sir Iohn Wallop"
252,Wallop,133,139,Iohn,demaundeth,Iohn Wallop demaundeth
253,innocent,651,659,in the,his bloud,in the innocent his bloud
254,Wallop,8,14,Maiſter,herevppon,Maiſter Wallop herevppon
254,Wallop,338,344,Maiſter,his men,Maiſter Wallop his men
260,Thomas,179,185,Saint,his Hoſpitall,Saint Thomas his Hoſpitall
261,Robert,0,6,,Walſhe,Robert Walſhe
261,Robert,14,20,"Walſhe,",Walſh,"Walſhe, Robert Walſh"
271,Thomas,203,209,death of,Fitz,death of Thomas Fitz
271,Thomas,624,630,wyth,his treaſon,wyth Thomas his treaſon
272,Anthonie,42,50,ſir,Sentleger,ſir Anthonie Sentleger
272,Paulet,80,86,George,knight,George Paulet knight
272,Barnes,121,127,maiſter,.,maiſter Barnes .
273,Henrie the eight,263,279,raigne of,. In this,raigne of Henrie the eight . In this
273,Thomas,413,419,and,Fitz,and Thomas Fitz
273,Queene Anne,506,517,King and,.,King and Queene Anne .
273,Talbot,676,682,George,Earle,George Talbot Earle
273,Walter,1398,1404,Of ſir,Delahyde,Of ſir Walter Delahyde
276,Thomas,237,243,ſonne,Fitz,ſonne Thomas Fitz
279,Iohn,956,960,that,Olurckan,that Iohn Olurckan
279,Iohn,1150,1154,"Graunt,",Olurcka,"Graunt, Iohn Olurcka"
282,Iohn,927,931,ſimple,at Stile,ſimple Iohn at Stile
282,Cromwell,1063,1071,Lorde,", who","Lorde Cromwell , who"
282,Cromwell,1530,1538,Lorde,his forewarning,Lorde Cromwell his forewarning
287,William,239,246,that ſir,Brereton,that ſir William Brereton
288,William,79,86,appoynted ſir,Brereton,appoynted ſir William Brereton
291,Fleming,107,114,ames,,ames Fleming
291,Robert,489,495,"countenaunce,",Halfpennie,"countenaunce, Robert Halfpennie"
291,Robert,568,574,tydings to,Halfe,tydings to Robert Halfe
292,Robert,57,63,roade to,Betoa,roade to Robert Betoa
292,Robert,82,88,"Downeore,",Betoa,"Downeore, Robert Betoa"
298,Thomas,254,260,and,Fitz,and Thomas Fitz
299,Talbot,79,85,Aylmer.,.Moreouer,Aylmer. Talbot .Moreouer
299,Thomas,196,202,"Iuſtice, &",Talbot,"Iuſtice, & Thomas Talbot"
299,Talbot,203,209,Thomas,of Malahide,Thomas Talbot of Malahide
305,Thomas,55,61,inueigle,Fitz,inueigle Thomas Fitz
313,William,92,99,ſir,Brereton,ſir William Brereton
315,Anthonie,26,34,Sir,Sentleger,Sir Anthonie Sentleger
315,Anthonie,133,141,ſir,Sentleger,ſir Anthonie Sentleger
315,William,210,217,and ſir,Brereton,and ſir William Brereton
322,Iohn,181,185,days,Oneale,days Iohn Oneale
322,Shane Oneale,210,222,called,", the","called Shane Oneale , the"
325,Henrie,308,314,King,being,King Henrie being
325,Anthonie,384,392,to ſir,Sentleger,to ſir Anthonie Sentleger
329,miles,206,211,thirtie,into,thirtie miles into
331,Henrie,93,99,King,", to learne","King Henrie , to learne"
334,Henrie,199,205,king,.,king Henrie .
334,Henrie,381,387,King,", as well","King Henrie , as well"
336,Henrie,123,129,king,.,king Henrie .
337,Anthonie,131,139,commaunding ſir,Sentleger,commaunding ſir Anthonie Sentleger
340,Iohn,262,266,conſtituted Sir,Trauerſe,conſtituted Sir Iohn Trauerſe
340,Iohn,290,294,"Capitayne,Sir",Trauerſe,"Capitayne,Sir Iohn Trauerſe"
354,Iohn,154,158,and ſir,Trauerſe,and ſir Iohn Trauerſe
357,Anthonie,93,101,ſir,Sentleger,ſir Anthonie Sentleger
359,Anthonie,279,287,of Sir,his friendes,of Sir Anthonie his friendes
360,Anthonie,4,12,Sir,hauing,Sir Anthonie hauing
363,Iohn,26,30,Sir,Alen,Sir Iohn Alen
363,Iohn,102,106,as ſir,Alen,as ſir Iohn Alen
364,William,61,68,by ſir,Wiſe,by ſir William Wiſe
364,Henrie,315,321,king,his grace,king Henrie his grace
367,Thomas,1004,1010,Saint,of Acres,Saint Thomas of Acres
374,Anthonie,48,56,"deceaſe,Sir",Sentleger,"deceaſe,Sir Anthonie Sentleger"
